Row Labels,Count of STREET
HARVARD TER,6
MARINE RD,6
WALNUT ST,6
COTTAGE ST,6
WESTMORE RD,6
HOBSON ST,6
WOODSTOCK AVE,6
GORDON ST,6
WYMAN ST,6
MAYFIELD ST,6
COVENTRY ST,6
HIGHLAND ST,5
W SPRINGFIELD ST,5
ACADEMY HILL RD,5
LOTHIAN RD,5
HECLA ST,5
M ST,5
MOSELEY ST,5
MAGNOLIA ST,5
W NINTH ST,5
ARMINGTON ST,5
DRAPER ST,5
CHARLES ST S,5
RUTLAND ST,5
ASHMONT ST,5
OLNEY ST,5
BIGELOW ST,5
LANGLEY RD,5
GLEN RD,5
PARK DR,5
GLEN ST,5
ROSSMORE RD,5
HOOKER ST,5
HUMBOLDT AVE,5
YARMOUTH ST,5
NEWTON ST,5
FOREST ST,5
ARMANDINE ST,5
BROAD ST,5
BISHOP JOE L SMITH WAY,5
STANIFORD ST,5
S WAVERLY ST,5
STANWOOD ST,5
W BROOKLINE ST,5
STARR LN,5
PACIFIC ST,5
POND ST,5
CITY SQ,5
GREEN ST,5
LEICESTER ST,5
MCLELLAN ST,5
LEROY ST,5
GREENWOOD ST,5
ROSECLAIR ST,5
MERCER ST,5
ROYAL ST,5
EAST ST,5
RUGG RD,5
SYMPHONY RD,5
COMMONWEALTH TER,5
METROPOLITAN AVE,5
DAY ST,5
TALBOT AVE,5
ESSEX ST,5
MIDDLE ST,5
WELLINGTON ST,5
KING ST,5
HENCHMAN ST,5
EDGERLY RD,5
EUTAW ST,5
ELM HILL AVE,5
FESSENDEN ST,5
HANSON ST,5
HILLSIDE ST,5
ATLANTIC AVE,5
LONDON ST,5
BOWDOIN AVE,5
HARRISHOF ST,5
SNOW HILL ST,5
ISABELLA ST,5
TERMINAL ST,4
PARK VALE AVE,4
WILLIAM T MORRISSEY BLVD,4
CUFFLIN ST,4
ROSEWOOD ST,4
ALBANY ST,4
W SEVENTH ST,4
DEVONSHIRE ST,4
NEPONSET AVE,4
DIGHTON ST,4
PARMENTER ST,4
DIXWELL ST,4
SAYBROOK ST,4
E BERKELEY ST,4
VALLAR RD,4
BAILEY ST,4
WAVERLY ST,4
EDISON GRN,4
N WASHINGTON ST,4
ELMIRA ST,4
C ST,4
ELVEN RD,4
CARMEN ST,4
ESMOND ST,4
PRATT ST,4
FALCON ST,4
RUTHVEN ST,4
FENWOOD RD,4
STOUGHTON ST,4
BELFORT ST,4
TURNER ST,4
FRANKLIN ST,4
CLIFTONDALE ST,4
FREEPORT ST,4
WALNUT PARK,4
FULLER ST,4
CONGRESS ST,4
GATES ST,4
WOODLAWN ST,4
BENNETT ST,4
NAZING ST,4
GRAY ST,4
NEWMARKET SQ,4
BICKNELL ST,4
NORWELL ST,4
GREENWICH PARK,4
CAPEN ST,4
GRIMES ST,4
PARKMAN ST,4
GROVENOR RD,4
CAROL AVE,4
HALL ST,4
PUTNAM ST,4
HARBOR VIEW ST,4
CHAMPNEY ST,4
HARRIET ST,4
ARBORWAY,4
HENSHAW ST,4
SHEPTON ST,4
BOURNESIDE ST,4
CLARK ST,4
IFFLEY RD,4
THACHER ST,4
IPSWICH ST,4
TYLER ST,4
LIVERPOOL ST,4
VINTON ST,4
LYON ST,4
W CONCORD ST,4
MELVIN AVE,4
WALBRIDGE ST,4
MONADNOCK ST,4
WARRENTON ST,4
MONMOUTH ST,4
WELLES AVE,4
WORCESTER SQ,4
WHEATLAND AVE,4
WRENTHAM ST,4
WILLIAMS ST,4
MOZART ST,4
WOODROW AVE,4
N MUNROE TER,4
MONUMENT AVE,4
WARWICK ST,3
CLAREMONT PARK,3
GOLD ST,3
ATKINS ST,3
VINAL ST,3
EMBASSY RD,3
WINTHROP ST,3
JAMAICA ST,3
SPEEDWELL ST,3
JEFFRIES ST,3
TONAWANDA ST,3
AMES ST,3
COLONEL MICHAEL J. MCDONO,3
JEWISH WAR VETERANS DR,3
WHITFIELD ST,3
JULIETTE ST,3
SAINT MARGARET ST,3
BRADDOCK PARK,3
SEDGWICK ST,3
KENRICK ST,3
BABSON ST,3
KERR PL,3
BAIRD ST,3
KILMARNOCK ST,3
E SPRINGFIELD ST,3
KILSYTH RD,3
HAMILTON ST,3
LANARK RD,3
WALLINGFORD RD,3
BRAYTON RD,3
WEST ST,3
EMPIRE ST,3
BOSTON WHARF RD,3
BAY ST,3
DANUBE ST,3
MALDEN ST,3
SAINT ROSE ST,3
MAPLETON ST,3
GOODENOUGH ST,3
MATCHETT ST,3
SOLEY ST,3
ANNUNCIATION RD,3
STATE ST,3
MELROSE ST,3
SULLIVAN ST,3
MELVILLE AVE,3
TAMPA ST,3
COURTHOUSE WAY,3
THOMPSON SQ,3
BROOKSIDE AVE,3
BALDWIN ST,3
MILTON AVE,3
CLEARWAY ST,3
BRUNSWICK ST,3
CLIFFMONT ST,3
EVELYN ST,3
CODMAN PARK,3
DECATUR ST,3
WABON ST,3
MONPONSET ST,3
HARTLAND ST,3
MONSIGNOR REYNOLDS WAY,3
HAZLETON ST,3
FAWNDALE RD,3
WESTVILLE ST,3
FENWAY,3
WILDWOOD ST,3
MORRILL ST,3
WILMORE ST,3
MOUNT HOOD RD,3
HOMES AVE,3
MOUNT HOPE ST,3
SAINT ALPHONSUS ST,3
ANSON ST,3
SAINT MARK ST,3
CRESCENT AVE,3
SAINT STEPHEN ST,3
BURT ST,3
ARBROTH ST,3
FERNALD TER,3
CHESTER ST,3
FERNDALE ST,3
GRANITE AVE,3
NAVARRE ST,3
CHILCOTT PL,3
NAVILLUS TER,3
SPRING GARDEN ST,3
BEECHCROFT ST,3
STILLMAN ST,3
FLORIDA ST,3
ARDEN ST,3
NEW ST,3
SUNNYSIDE ST,3
FOLLEN ST,3
DALE ST,3
NIGHTINGALE ST,3
TELEGRAPH ST,3
NIRA AVE,3
GREENWICH ST,3
BEECHLAND CIR,3
TIP TOP ST,3
CORTES ST,3
TOPLIFF ST,3
OSCAR ST,3
TUTTLE ST,3
PARK PLZ,3
UNION ST,3
FOWLER ST,3
GUILD ST,3
FRANKFORT ST,3
EASTMAN ST,3
CUMMINGS RD,3
CLIFTON ST,3
DONNYBROOK RD,3
BIRD ST,3
DUNBOY ST,3
EDGE HILL ST,3
GARRISON ST,3
W WALNUT PARK,3
PETER PARLEY RD,3
DANFORTH ST,3
CARSON ST,3
WALNUT AVE,3
GASTON ST,3
HASKELL ST,3
PREBLE ST,3
HAWKINS ST,3
PRIESING ST,3
WENHAM ST,3
DACIA ST,3
BLOOMFIELD ST,3
