Row Labels,Count of STREET
AUBURN ST,1
ARCOLA ST,1
DABNEY ST,1
FENDALE AVE,1
PARKTON RD,1
IMRIE RD,1
PARLEY AVE,1
INDIA ST,1
PARLEY VALE,1
BOYDEN ST,1
ALDWIN RD,1
FENENO TER,1
PARSONS ST,1
FENSMERE RD,1
PASADENA RD,1
ISLAND ST,1
PATTEN ST,1
SUMNER PARK,1
HANNON ST,1
SUNCREST RD,1
PAULDING ST,1
SUPPLE RD,1
ERNEST AVE,1
DALRYMPLE ST,1
COWING ST,1
SWALLOW ST,1
CAROLINA PL,1
DUSTIN ST,1
PENHALLOW ST,1
SYMMES ST,1
PENNIMAN RD,1
CLARIDGE TER,1
PERCIVAL ST,1
JEROME ST,1
PERHAM ST,1
JEWETT ST,1
PERKINS AVE,1
TEMPLE ST,1
CARPENTER ST,1
TERRACE PL,1
PERRIN ST,1
THANE ST,1
COWPER ST,1
JONES AVE,1
AUGUSTUS AVE,1
DYER AVE,1
HARCOURT ST,1
THORNTON ST,1
CARRUTH ST,1
THWING ST,1
PHEASANT ST,1
JOYCE HAYES WAY,1
HARDING RD,1
JUDSON ST,1
PIEDMONT ST,1
FERRIN ST,1
HARLESTON ST,1
JUSTINIAN WAY,1
HAROLD PARK,1
AMORY AVE,1
PINEDALE RD,1
CLAXTON ST,1
PLAYSTEAD RD,1
DYER ST,1
HAROLD ST,1
TRINITY TER,1
PLEASANTON ST,1
KENILWORTH ST,1
PLEASANTVIEW ST,1
KENNEY ST,1
ESTELLA ST,1
KENTON RD,1
POMPEII ST,1
ARKLOW ST,1
BLACKFAN CIR,1
FLEET,1
ESTEY ST,1
DALTON ST,1
PORTINA RD,1
VASSAR ST,1
ESTRELLA ST,1
BRADEEN ST,1
PORTSMOUTH ST,1
VESTA RD,1
POTOSI ST,1
KINGSDALE ST,1
POWELLTON RD,1
VINELAND ST,1
DORR ST,1
FLINT PL,1
EUSTIS ST,1
FLORENCE ST,1
HARTLAWN RD,1
LAFIELD ST,1
PRESTON RD,1
LAKE SHORE RD,1
BEACHVIEW RD,1
CLINTON ST,1
PRIMUS AVE,1
LAMBERT ST,1
CAWFIELD ST,1
DANA AVE,1
CEDAR SQ,1
COLBURN ST,1
PUBLIC ALLEY NO 705,1
W PARK ST,1
PUBLIC ALLEY NO 715,1
W SCHOOL ST,1
BEACON,1
COLLISTON RD,1
QUEEN ST,1
BRAINARD ST,1
BLAINE ST,1
COLUMBIA,1
EVANS RD,1
LARK ST,1
QUINN WAY,1
DARTMOUTH PL,1
CENTER PLZ,1
WAKULLAH ST,1
RADCLIFFE RD,1
LEAHAVEN RD,1
RADCLIFFE ST,1
LEAMINGTON RD,1
HARVESTER ST,1
ABBY RD,1
RALWOOD RD,1
LENNON CT,1
RANDOLPH ST,1
BRANDYWYNE DR,1
EVANS ST,1
COMM,1
HATCH ST,1
WARE ST,1
READING ST,1
ALASKA ST,1
DORSET ST,1
COMMON ST,1
REDDY AVE,1
LESLIE ST,1
HAVILAND ST,1
ALFORD ST,1
DOUGLASS PARK,1
ASHCROFT ST,1
DOWNER AVE,1
LEXINGTON AVE,1
HAWLEY ST,1
LIME ST,1
HAYDN ST,1
WELD AVE,1
EVERTON ST,1
BRECK AVE,1
RICHFIELD ST,1
WELLSMERE RD,1
BEALE ST,1
LINGARD ST,1
RIDGE ST,1
WENTWORTH ST,1
CENTRAL ST,1
WESTBOURNE TER,1
RINGGOLD ST,1
FOUNDRY ST,1
HEBRON ST,1
LIVERMORE ST,1
CENTRE AVE,1
WESTMINSTER AVE,1
DR. MICHAEL GAVIN WAY,1
WESTVIEW ST,1
FABYAN ST,1
WEYANOKE ST,1
ROBERT ST,1
LOCHSTEAD AVE,1
ROBESON ST,1
LOCUST ST,1
BOARDMAN ST,1
E MAIN ST,1
HENDRY ST,1
WHITTIER ST,1
ROCKDALE ST,1
ALGONQUIN ST,1
ROCKLAND ST,1
FRANCONIA ST,1
ROCKNE AVE,1
LONGFELLOW ST,1
DRACUT ST,1
WILLOW CT,1
ANTWERP ST,1
WILLOWWOOD ST,1
HENSHAW TER,1
WILMOT ST,1
ROLAND ST,1
WINDHAM RD,1
CEYLON ST,1
LORING ST,1
RONAN ST,1
WINTER ST,1
ROSEBERY RD,1
E NINTH ST,1
HERALD ST,1
LOTHROP ST,1
HEREFORD ST,1
LOURDES AVE,1
ROSELAND ST,1
LUCERNE ST,1
ROSEMARY ST,1
WOODGATE ST,1
HEWINS ST,1
FRANKLIN TER,1
HIAWATHA RD,1
BREWSTER ST,1
HICHBORN ST,1
MADISON PARK CT,1
HIGGINS ST,1
MAGAZINE ST,1
ROSWELL ST,1
WOODVILLE ST,1
FAIRFIELD ST,1
COPELAND ST,1
BOLSTER ST,1
FRAWLEY ST,1
HIGHLAND AVE,1
ANDOVER RD,1
HIGHLAND PARK AVE,1
FRAZER ST,1
ROZELLA ST,1
CORINNE RD,1
CHANNEL CENTER ST,1
CHAPPIE ST,1
RUSHMORE ST,1
(blank),
Grand Total,6720
